epoch,node_id,lat,lon
1672552800,121,41.8832,-87.6232
1672556400,121,41.8832,-87.6232
1672560000,121,41.8832,-87.6232
1672563600,121,41.8832,-87.6232
1672567200,121,41.8832,-87.6232
1672570800,121,41.8832,-87.6232
1672574400,121,41.8832,-87.6232
1672578000,121,41.8832,-87.6232
1672581600,121,41.8832,-87.6232
1672585200,121,41.8832,-87.6232
1672588800,121,41.8832,-87.6232
1672592400,121,41.8832,-87.6232
1672596000,121,41.8832,-87.6232
1672599600,121,41.8832,-87.6232
1672603200,121,41.8832,-87.6232
1672606800,121,41.8832,-87.6232
1672610400,121,41.8832,-87.6232
1672614000,121,41.8832,-87.6232
1672617600,121,41.8832,-87.6232
1672621200,121,41.8832,-87.6232
1672624800,121,41.8832,-87.6232
1672628400,121,41.8832,-87.6232
1672632000,121,41.8832,-87.6232
1672635600,121,41.8832,-87.6232
1672639200,121,41.8832,-87.6232
1672642800,121,41.8832,-87.6232
1672646400,121,41.8832,-87.6232
1672650000,121,41.8832,-87.6232
1672653600,121,41.8832,-87.6232
1672657200,121,41.8832,-87.6232
1672660800,121,41.8832,-87.6232
1672664400,121,41.8832,-87.6232
1672668000,121,41.8832,-87.6232
1672671600,121,41.8832,-87.6232
1672675200,121,41.8832,-87.6232
1672678800,121,41.8832,-87.6232
1672682400,121,41.8832,-87.6232
1672686000,121,41.8832,-87.6232
1672689600,121,41.8832,-87.6232
1672693200,121,41.8832,-87.6232
1672696800,121,41.8832,-87.6232
1672700400,121,41.8832,-87.6232
1672704000,121,41.8832,-87.6232
1672707600,121,41.8832,-87.6232
1672711200,121,41.8832,-87.6232
1672714800,121,41.8832,-87.6232
1672718400,121,41.8832,-87.6232
1672722000,121,41.8832,-87.6232
1672725600,121,41.8832,-87.6232
1672729200,121,41.8832,-87.6232
1672732800,121,41.8832,-87.6232
1672736400,121,41.8832,-87.6232
1672740000,121,41.8832,-87.6232
1672743600,121,41.8832,-87.6232
1672747200,121,41.8832,-87.6232
1672750800,121,41.8832,-87.6232
1672754400,121,41.8832,-87.6232
1672758000,121,41.8832,-87.6232
1672761600,121,41.8832,-87.6232
1672765200,121,41.8832,-87.6232
1672768800,121,41.8832,-87.6232
1672772400,121,41.8832,-87.6232
1672776000,121,41.8832,-87.6232
1672779600,121,41.8832,-87.6232
1672783200,121,41.8832,-87.6232
1672786800,121,41.8832,-87.6232
1672790400,121,41.8832,-87.6232
