count,nearest_m,idw,idw_norm,lon,lat
0,716.2769132451251,2.258473043554368e-06,0.607806658335689,-87.61255364965287,41.646160533532466
0,932.3574856284678,1.4670193532438516e-06,0.3948084009033089,-87.60244233897632,41.64619538048937
0,1953.1328314166235,6.509886484731949e-07,0.17519590777149519,-87.58836045167565,41.64678181632241
0,1918.5255719697377,6.597546733259702e-07,0.17755504519306375,-87.58147241431301,41.646259162748635
0,1155.079823466409,1.0752792389584357e-06,0.28938219248368746,-87.57107088341026,41.646267047200766
0,698.1912126239638,2.3597444837425135e-06,0.6350611149789823,-87.56065754093518,41.64626922742962
0,1067.5897915105904,1.1992910622683147e-06,0.32275660540183704,-87.55026142890618,41.646252996549585
0,1814.1940103327572,6.771520967031856e-07,0.18223708901764482,-87.53987820524699,41.64626051089842
0,1788.154158173706,6.719947630957041e-07,0.18084913279880396,-87.52974124361045,41.64633413613382
0,1341.0044710480838,8.874702488627326e-07,0.23883850545529642,-87.61599707415027,41.65120944621909
0,1226.572798686657,9.915323294691686e-07,0.2668439871471722,-87.60754107307399,41.65089261969854
0,1636.510773660187,7.165078476026364e-07,0.19282862010045146,-87.59732485919893,41.651263929022704
0,2291.9617473047765,5.859684860257542e-07,0.15769749760697677,-87.58672563673395,41.651017546820654
0,1832.494846199515,6.518519069056603e-07,0.17542823032438745,-87.5763416055815,41.65105329365362
0,1328.516273016552,8.974075263470304e-07,0.24151285370041867,-87.56594172759222,41.65110496988342
0,1293.0095181378317,9.277746559946553e-07,0.24968534158866085,-87.55554182268133,41.651155705223886
0,1754.6486087858998,6.739887314830444e-07,0.18138575521535003,-87.54514189134346,41.65120549966813
0,2409.711662867301,5.762252162990383e-07,0.15507536127873509,-87.53474193407321,41.6512543532094
0,1896.8995620666076,6.182504298026522e-07,0.1663853056937792,-87.52706461249772,41.65131703373931
0,2567.606319569782,5.37203750018058e-07,0.14457379381868032,-87.64331027864141,41.65944537156617
0,2945.526173757199,5.205503659087851e-07,0.1400919879479723,-87.63412146068787,41.6594043897856
0,2154.6872842418543,6.078197712469878e-07,0.16357817733816185,-87.6184119659608,41.65835289641074
0,1969.2723650453813,6.441835732690809e-07,0.1733645066700563,-87.6127384809998,41.65761777582819
0,2061.8039932314946,6.195081527918297e-07,0.1667237876647488,-87.60240411850882,41.657675021400635
