month,mean,median,std,min,max
05-10-2,35.88901119332292,32.44592667,10.94469341520444,15.01629543,75.1333313
05-11-2,37.85897394089584,39.09357833999999,6.787578305697026,17.41744232,53.49176788
06-01-2,35.87718251251389,35.489755630000005,5.91299421755377,13.51083279,64.19561005
06-02-2,39.15067986478472,38.983371735000006,6.755463563467114,15.23148251,76.55575562
06-03-2,35.87085036939931,36.458108905,6.044163580814915,13.51083279,53.87778854
06-04-2,33.064414396857636,33.206066129999996,5.770511732954359,13.51177692,53.27507782
06-05-2,35.765395847625,35.66431236,7.2844329559190095,13.51083279,67.34251404
06-06-2,38.396152912211804,38.642698285,6.224068740999403,16.25656128,60.02957535
06-07-2,50.59298829377083,49.168420795,11.496483139067113,14.37439728,100.9841232
06-08-2,49.044105451861114,49.261459349999996,10.407961721051198,15.34430599,82.77251434
06-09-2,41.58327616518056,40.94066429,9.606299202217405,18.1322422,74.08848572
06-10-2,34.40501165057639,32.332754135,8.584105615603036,15.09176922,72.98235321
06-11-2,36.11128501558681,36.56859016,5.097257972668758,18.66855812,52.92123795
07-01-2,34.70694969231944,34.890327455000005,4.431586647499622,17.90874481,47.38851166
07-02-2,40.90423792138195,41.0182724,6.991556610451493,20.42271996,74.62513733
07-03-2,33.091058003305555,32.55960274,6.584183228806423,14.3951149,66.95932007
07-04-2,32.01245473724653,31.66140556,6.027005376489187,13.51083279,56.64823151
07-05-2,33.97838996943055,34.10240555,5.837705493884984,13.51083279,54.3660202
07-06-2,36.128562379631944,35.32446098,6.552051311846854,16.4634285,66.49673462
07-07-2,57.314589323593744,57.591289520000004,11.892477053951957,17.62813759,105.9393921
07-08-2,36.856831702645835,37.064167025,8.916405960843157,13.51083279,85.20733643
07-09-2,29.0388773301875,28.915596960000002,4.208809353162452,16.8075695,45.42905807
07-10-2,27.696498011888888,27.65535736,3.374906062446892,16.36644936,39.5941391
07-11-2,37.062821779663196,37.349603654999996,5.015184516872842,21.30967331,53.84212112
08-01-2,38.19675197207639,37.36520958,7.683209322501512,13.51083279,75.58117676
08-02-2,39.93691918390625,41.13105774,6.263080166914731,20.52214432,71.45111084
08-03-2,33.059740976531245,32.755203245,6.3496869060281185,13.51083279,65.73760223
08-04-2,38.02216640242361,38.113229755,7.210864158691375,19.94145012,56.41127396
08-05-2,38.11074475484375,36.976345065000004,9.071928293766751,13.51083279,101.7796936
08-06-2,43.833169419260415,43.619606020000006,9.084513288939435,13.89698982,78.26327515
08-07-2,59.86232347093055,58.371749875,14.761614981407575,26.12811279,107.529007
08-08-2,50.80408734011806,47.408885955,15.382192593531208,19.63026428,109.0616074
08-09-2,33.21094197233334,33.320835114999994,5.912846233239389,15.8388319,54.12881088
08-10-2,29.86160122351389,29.447446825,4.425865008500274,15.49207973,50.33473587
08-11-2,37.716348530218745,37.85173035,5.979081734962124,13.51083279,58.00191879
09-01-2,30.530243286812503,30.465157509999997,5.689493447855926,13.51083279,60.38469315
09-02-2,35.46255709912847,36.16391563,5.182270691751299,17.46580887,49.03462601
09-03-2,30.75645633009375,31.047167780000002,3.8133789766581723,16.94454193,41.23592377
09-04-2,33.211914673663195,32.27332878,5.617264553961347,16.79690361,53.30659866
09-05-2,30.510505618673612,30.438752175,5.357146160053993,13.51083279,55.93038559
09-06-2,42.96637640124306,42.679130555,8.046785627342171,16.88265991,73.10180664
09-07-2,58.326203906531255,58.446926115,10.121599647429505,17.82916832,94.78640747
09-08-2,38.70128350195486,36.452472685000004,9.137065761001395,15.6666975,83.95571899
09-09-2,38.43089349595834,36.530216214999996,8.933066422489144,16.79777718,73.2933197
09-10-2,36.45887542132639,36.516138080000005,6.994564526727981,13.51116657,67.26594543
09-11-2,32.772808919999996,32.22428894,6.29100112713562,13.51083279,63.70244217
10-01-2,30.256049446350694,29.268058775,5.115710320399449,16.11152267,60.38906479
10-02-2,32.68349651169444,32.808353425,3.8648688195850567,17.57728004,44.61503983
10-03-2,30.216741313851447,30.41616249,4.005924037558426,17.06473732,44.64269257
10-04-2,36.63132710726736,35.57784653,6.906232421934184,13.53389645,62.29339218
10-05-2,38.419358661479166,38.076854705,6.565266024729369,18.86066246,69.51483154
10-06-2,33.5657892220382,33.473829269999996,6.085135826270793,13.51083279,59.09279633
10-07-2,46.236766691361105,45.88172722,8.624574930083318,18.21312714,86.14266968
10-08-2,33.15332469971528,33.06481171,4.919527219907933,15.17140675,56.35370636
10-09-2,51.003812310486104,47.545097350000006,14.007610547406527,27.24465752,98.76579285
10-10-2,30.18211726706597,29.863737105,4.519218602071871,13.5118618,48.5081749
10-11-2,33.07036144071875,32.64068985,5.25451281483662,15.40384102,51.64622879
11-01-2,35.482381641875,35.235803605,5.313234561495315,14.37806892,59.95069504
11-02-2,33.74868622956597,33.70510101,4.773038519393912,18.94014549,53.60955811
11-03-2,35.91581207051736,36.58303833,6.292914886832829,19.07473564,51.71290207
11-04-2,32.859886028118055,32.88162613,5.146221953978658,13.51194859,53.86965942
11-05-2,34.78521382905556,34.757766724999996,5.995133587527805,14.84330654,60.72338867
11-06-2,36.22600278186111,35.123989105,7.115375392932582,19.67642975,71.81183624
11-07-2,52.16725604209028,52.629951475,10.834217191495625,17.24416161,125.0208282
11-08-2,37.16142762165278,36.38309479,6.564095937202933,16.05073929,64.27349091
11-09-2,55.12345332440972,52.734523775,14.127534351792642,26.15622139,175.3428802
11-10-2,38.38105933263194,34.822515485,11.332776717915559,19.34139824,75.02663422
11-11-2,31.26430673698264,31.853061675,4.718910788287333,15.57435322,45.95975876
12-01-2,31.604205832857637,30.64019203,6.349380965286273,13.51141453,58.2271843
12-02-2,36.77346293728473,36.94555092,4.891448459613918,19.13295937,59.72809982
12-03-2,33.190684337760416,34.051267620000004,5.119364751778974,18.37838936,45.82355118
12-04-2,35.16995061375347,35.477352145,5.077704405229657,16.90271378,51.78326797
12-05-2,44.45815931303472,43.690713880000004,9.436449558444888,21.51374435,78.99628448
12-06-2,47.7183707237257,44.36183357,13.937358705690002,20.25611305,93.96538544
12-07-2,49.753948220295136,47.862678525,13.282839889635126,17.28942108,127.4090576
12-08-2,47.385777407305554,45.235921860000005,11.089603263976601,13.51083279,97.55888367
