week,node_id,RMSE,MAE,Bias,R2,N
2024-W01,1,13.400212928302247,11.665748438341865,-6.1944725299703665,-0.4873412953786651,145
2024-W01,10,12.17095946202474,10.545677855919147,-6.248833557655072,-0.2269782641318665,145
2024-W01,100,11.117770507383874,9.304310989379882,-5.847265638154129,-0.012885752857206167,145
2024-W01,101,13.213270838224096,11.123515648677431,-6.338478732931203,-0.43069060824234673,145
2024-W01,102,11.132862139758043,9.957963719861262,-2.8188953794282057,-0.015637469010998828,145
2024-W01,103,11.66477694931913,10.465131259786672,-2.945473256604425,-0.11500786222893278,145
2024-W01,104,10.832457824063903,8.231530919568293,-5.884059353532463,0.03843407284658085,145
2024-W01,105,13.08492118419113,11.59974417850889,-0.5832075447871767,-0.12345065603394811,145
2024-W01,106,13.812977533300424,12.086566661966257,-5.5147860296841325,-0.25194828896800114,145
2024-W01,107,10.19192450968861,9.295655375513537,1.3361596206138875,0.148788565996695,145
2024-W01,108,10.154288403299661,8.921954858714136,-3.639871281590955,0.15506356013706024,145
2024-W01,109,12.802281180717085,11.085374082367995,-3.9417500726107892,-0.3430734847855206,145
2024-W01,11,9.454620099027808,8.54634185001768,-3.166867709981984,0.13865292811304353,145
2024-W01,110,10.71447306107937,9.7427219785493,-1.4658307305697738,0.05926633323345731,145
2024-W01,111,11.264442636411543,10.238697446625808,-1.2889019143992448,-0.03978720199976471,145
2024-W01,112,9.780878054042986,7.869509887695313,-2.9427484709641027,0.21606376155832607,145
2024-W01,113,23.91201867412411,20.06694309629243,-20.06694309629243,-2.7518395954951016,145
2024-W01,114,17.79120638987539,14.524690299198545,-12.332269339725888,-1.076933425140043,145
2024-W01,115,11.647921830446936,10.458135933711612,-2.8611721433442217,-0.11178791003201982,145
2024-W01,116,15.38334471287402,12.265865917863517,-11.763118678125842,-0.9392178319703044,145
2024-W01,117,17.47431245286848,13.87916154532597,-12.835425988559065,-1.5022185887067137,145
2024-W01,118,12.852972425677931,11.193117838892443,-5.563519918507543,-0.3537304689832381,145
2024-W01,119,13.675726114643911,11.877667446794181,-5.987860212654903,-0.5325894841378054,145
2024-W01,12,11.647439740623584,9.401110524144666,-7.8928005613129715,-0.3072268524449602,145
2024-W01,120,17.590703976067267,15.010989445653456,-14.726429498606715,-1.5356627608928242,145
2024-W01,13,11.634491075892877,10.38101262059705,-3.7731173285122575,-0.3043219336505989,145
2024-W01,14,9.034167422186046,8.237028292951912,-0.7879546066810341,0.21355874922356677,145
2024-W01,15,9.374881053254803,8.375623742465315,0.5200962198191675,0.15312064043213514,145
2024-W01,16,9.201445073941791,7.823987066334691,-2.704198258498619,0.18416545282749075,145
2024-W01,17,11.80727777139712,10.437662677107186,-4.871497910598229,-0.15474688161556838,145
2024-W01,18,12.120983381184388,10.586901092529297,-6.096098038245891,-0.21692257859646658,145
2024-W01,19,9.730219322722057,8.716327838239998,-3.551798103595602,0.08770504142363378,145
2024-W01,2,10.864973158097259,9.238952505177465,-2.6608239009462555,0.02221233797726907,145
2024-W01,20,10.4487334534393,8.6095621437862,-6.486358971431337,-0.0520038200453985,145
2024-W01,21,11.857549236309948,10.465831348813813,-5.757245938531284,-0.3548146656344555,145
2024-W01,22,9.393596837056675,8.609233829892915,-1.6863104458512923,0.1497358865995403,145
2024-W01,23,9.55048489553075,8.668869307945515,-0.018814428921403555,0.12109717584659119,145
2024-W01,24,10.477986388388743,8.617106694188612,-5.796581860246329,-0.05790257861723003,145
