week,RMSE,MAE,Bias,R2,MedianObs,MedianPred,N
2024-W01,11.962672187489321,10.111990664909627,-4.2632532630569635,-0.17671637905947035,40.0,34.53535842895508,17400
2024-W02,8.787924513937874,6.555849618476534,3.9423824600757116,-4.888715940863524,27.0,30.02428150177002,20160
2024-W03,9.726974256869402,7.442823141245615,-4.394438310937276,-0.12589497091747592,32.0,28.395843505859375,20160
2024-W04,13.175857107636606,10.012568765925982,-3.6126702981808827,-0.017970920575342664,37.0,37.21951866149902,20160
2024-W05,11.953426718915987,10.039272745403032,-2.6514158443326044,-0.3178887943056872,41.0,36.62373733520508,20160
2024-W06,13.49444314904377,11.308815122171055,-4.102585714345887,0.0845639767342905,42.0,36.41506767272949,20160
2024-W07,10.822327867869717,7.987368882175476,-6.02200576965771,-0.3470166255332603,35.0,31.48514461517334,20160
2024-W08,24.504829030668386,20.764365766161966,-20.015287237507955,-1.7182206743855284,56.0,35.26399803161621,20160
2024-W09,13.194483405709592,10.43143891696892,-9.485833058423466,-0.7271345816817743,48.0,35.72761344909668,20160
2024-W10,10.404817801257131,8.102060106842817,-5.066122609507776,-0.973157283200778,38.0,34.00806427001953,20040
2024-W11,12.225847662012207,9.575845530581853,-8.383239178525077,-1.6628331782046848,41.0,34.26795196533203,20160
2024-W12,10.659148039663075,8.376566837751676,-5.54910066189274,-1.2102058115982262,36.0,30.95592498779297,20160
2024-W13,12.33193642890723,9.861364600819254,-8.979168034025601,-1.8239544734316468,40.0,32.54231262207031,20160
2024-W14,8.251052795937794,6.502072377668487,-3.8234807777499396,-1.6312281338146084,36.0,32.429039001464844,20160
2024-W15,15.714256935155944,12.6548806506963,-10.219792312525568,-1.489445474064227,42.0,34.21730041503906,20160
2024-W16,10.887432934681105,8.71884936245661,-7.248591426251426,-1.8425504822058811,39.0,31.551055908203125,20160
2024-W17,9.385326972884801,7.581296467922983,-4.846116703417566,-1.755015637314873,41.0,35.28858757019043,20160
2024-W18,11.56146881175447,9.43817897098405,-7.706011505259408,-3.54984116045552,47.0,38.4661750793457,20160
2024-W19,10.02159121099992,8.086001217081433,-3.515676000856218,-1.9819739643239336,41.0,35.719024658203125,20160
2024-W20,15.809818942294593,13.249407719568428,-11.683171662818863,-2.1686748783290937,55.0,40.97835731506348,20160
2024-W21,12.240317716891582,9.52505792084099,-5.8331769215388025,-0.5687386581192022,46.0,38.44632339477539,20160
2024-W22,15.385888247694693,11.729018356810574,-9.956833125067119,-0.5218825234479223,47.0,37.09045219421387,20160
2024-W23,12.865372850141117,9.801302197457504,-5.061578340652515,-0.07882967786082329,52.0,43.10212326049805,20160
2024-W24,16.234718817632412,11.250104156242651,-3.6580600796245775,0.012596501452074693,44.0,41.627838134765625,20160
2024-W25,21.1744377956402,15.26817708580243,-8.297706739766067,-0.21462718124118974,57.0,54.79866409301758,20160
2024-W26,11.650901300155752,8.483693166654938,-1.3406594055278056,0.1948967052209789,45.0,43.7088680267334,20160
2024-W27,13.634750259559441,10.077958390015324,-3.2688560749636313,0.2918509344808954,49.0,48.32508087158203,20160
2024-W28,17.52679323481757,12.973838064087635,-5.716281861293407,0.027010964621843603,56.0,53.943655014038086,20160
2024-W29,19.090738600809765,14.624549157956258,-12.198310233202397,-0.14680487120465902,60.0,49.064964294433594,20160
2024-W30,18.90735338949893,14.637094275433332,-8.692280520387248,-0.10293273915328816,62.0,50.493547439575195,20160
2024-W31,18.09057033260329,12.86918744381641,-6.367958706395537,-0.15251036219102487,61.0,58.75579643249512,20160
2024-W32,14.522281468537624,12.077070739518264,-7.030236815442653,-1.258331817127548,51.0,40.115983963012695,20160
2024-W33,11.086635277321445,8.43160458601394,0.19362329215514942,-1.2557172601823692,51.0,49.17421340942383,20160
2024-W34,14.568443204102643,10.50290211528337,-6.909899629178454,0.4524465068259904,48.0,43.12960624694824,20160
2024-W35,18.294436372960853,13.763945315303017,2.761846216786809,0.1806794280775854,51.0,55.155452728271484,20160
2024-W36,11.279605696769892,8.363487445959906,0.5699343335490171,0.278531538105218,37.0,36.64004325866699,20160
2024-W37,19.571121439807367,15.770006520979974,-10.66038095078119,-0.6688159142167347,62.0,49.389244079589844,20160
2024-W38,11.983610494817556,9.182148704055598,0.8084135860765205,-0.9615375586436985,50.0,50.001577377319336,20160
2024-W39,9.863827226519465,7.3814752063735956,4.523974929918714,-1.3614125891152442,32.0,34.72842979431152,20160
2024-W40,8.209214887983524,6.50997388439209,1.7720535922021854,-0.14819163856011297,33.0,33.87276077270508,20160
2024-W41,8.46676894498926,6.465541578713013,-0.7120312569665165,-0.24386531760719565,33.0,31.18565273284912,20160
2024-W42,7.247193557401139,5.829308718812613,-0.9962848590917233,0.2847518904937857,31.0,30.991915702819824,20160
2024-W43,8.395173031048092,6.538768176080323,-2.362287934134607,0.28928010638300006,34.0,31.99388599395752,20160
2024-W44,8.051235468517719,6.132839015048132,1.2162424787641146,-0.454556950549063,31.0,33.01942825317383,20280
2024-W45,11.257621007186033,9.32020894633908,7.477240809014722,-2.040417613832703,27.0,36.593421936035156,20160
2024-W46,13.701030739945024,9.726299812186113,-3.0841579040795137,0.11560901724771488,32.0,34.05574035644531,17400
